no,date,time,water_temp,water_do,water_ph,water_orp,tank_lux,water_nh3,water_no2-,feed_type,feed_frequency,feed_cap,photoperiod,maturation_period,body_length,migguri_posture,body_weight,gonads_weight,gsi
0,20230910,91342,24.7,3.8,5.3,211.0,329,0.11,0.01,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
1,20230910,93459,24.8,4.1,5.5,211.0,327,0.11,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
2,20230910,101310,24.9,4.1,5.1,205.0,325,0.12,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
3,20230910,103352,24.8,3.8,5.2,209.0,321,0.12,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
4,20230910,110516,24.9,4.1,5.2,214.0,322,0.12,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
5,20230910,113843,25.1,4.0,5.1,207.0,330,0.13,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
6,20230910,120303,25.3,4.0,5.7,221.0,321,0.13,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
7,20230910,123539,25.4,4.1,5.4,213.0,326,0.13,0.01,F,3,40,0,121,9.986,1,5.7378,0.0,0.0
8,20230910,131548,25.6,4.0,5.1,211.0,322,0.13,0.01,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
9,20230910,133851,25.7,3.9,5.6,212.0,334,0.13,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
10,20230910,140614,25.7,3.7,5.3,218.0,334,0.13,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
11,20230910,144206,25.5,4.0,5.2,206.0,325,0.14,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
12,20230910,151351,25.6,4.1,5.1,212.0,323,0.14,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
13,20230910,153936,25.5,4.1,5.2,216.0,335,0.14,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
14,20230910,161144,25.7,4.1,5.5,213.0,321,0.14,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
15,20230910,164326,25.6,4.2,5.5,213.0,338,0.14,0.02,F,3,40,0,121,9.986,2,5.7378,0.0,0.0
16,20230911,90315,25.8,3.6,5.0,315.4,312,0.11,0.01,F,3,40,0,122,9.493,1,4.504,0.118,2.62
17,20230911,93745,25.8,3.3,5.0,315.1,356,0.11,0.01,F,3,40,0,122,9.493,1,4.504,0.118,2.62
18,20230911,100536,25.9,3.2,5.0,314.1,349,0.12,0.01,F,3,40,0,122,9.493,0,4.504,0.118,2.62
19,20230911,103645,25.9,3.3,5.0,312.6,282,0.12,0.01,F,3,40,0,122,9.493,0,4.504,0.118,2.62
20,20230911,110315,25.8,3.4,5.0,312.2,288,0.12,0.01,F,3,40,0,122,9.493,0,4.504,0.118,2.62
21,20230911,114532,25.8,3.3,5.0,311.0,296,0.13,0.01,F,3,40,0,122,9.493,2,4.504,0.118,2.62
22,20230911,120530,25.9,3.3,5.0,310.9,271,0.13,0.01,F,3,40,0,122,9.493,1,4.504,0.118,2.62
23,20230911,123726,25.9,3.4,5.0,312.3,282,0.13,0.01,F,3,40,0,122,9.493,0,4.504,0.118,2.62
24,20230911,130215,25.8,3.4,4.9,312.4,322,0.13,0.01,F,3,40,0,122,9.493,0,4.504,0.118,2.62
25,20230911,131846,25.8,3.2,4.9,312.2,331,0.13,0.02,F,3,40,0,122,9.493,0,4.504,0.118,2.62
26,20230911,140303,25.8,3.3,4.9,311.5,482,0.13,0.02,F,3,40,0,122,9.493,2,4.504,0.118,2.62
27,20230911,143645,25.9,3.3,4.9,311.6,476,0.14,0.02,F,3,40,0,122,9.493,0,4.504,0.118,2.62
28,20230911,150155,25.9,3.5,4.9,311.0,494,0.14,0.02,F,3,40,0,122,9.493,1,4.504,0.118,2.62
