no,date,time,water_temp,water_do,water_ph,water_orp,tank_lux,water_nh3,water_no2-,feed_type,feed_frequency,feed_cap,photoperiod,maturation_period,body_length,migguri_posture,body_weight,gonads_weight,gsi
1,20230910,90135,23.4,3.42,4.9,323.0,344.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
2,20230910,90406,23.3,3.47,4.8,322.9,337.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
3,20230910,91529,23.3,3.47,4.8,322.9,337.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
4,20230910,91835,23.3,3.54,4.8,324.3,270.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
5,20230910,92530,23.3,3.7,4.8,324.4,276.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
6,20230910,93113,23.3,3.7,4.8,324.4,276.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
7,20230910,94056,23.3,3.47,4.8,324.2,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
8,20230910,94339,23.3,3.51,4.8,323.5,317.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
9,20230910,95501,23.3,3.51,4.8,323.5,317.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
10,20230910,100030,23.3,3.54,4.8,323.6,316.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
11,20230910,100718,23.3,3.55,4.8,323.0,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
12,20230910,100832,23.3,3.55,4.8,323.0,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
13,20230910,102153,23.3,3.65,4.8,323.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
14,20230910,102621,23.3,3.6,4.8,323.7,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
15,20230910,103325,23.3,3.6,4.8,323.7,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
16,20230910,104227,23.2,3.64,4.8,323.0,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
17,20230910,104311,23.2,3.57,4.8,324.3,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
18,20230910,105134,23.2,3.57,4.8,324.3,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
19,20230910,110219,23.3,3.74,4.8,323.4,259.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
20,20230910,110520,23.3,3.71,4.8,322.8,270.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
21,20230910,111416,23.3,3.71,4.8,322.8,270.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
22,20230910,112112,23.3,3.49,4.8,323.9,299.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
23,20230910,112710,23.3,3.5,4.8,320.9,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
24,20230910,113140,23.3,3.5,4.8,320.9,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
25,20230910,114248,23.4,3.67,4.8,319.9,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
26,20230910,114620,23.4,3.55,4.8,319.5,303.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
27,20230910,114858,23.4,3.55,4.8,319.5,303.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
28,20230910,115629,23.4,3.6,4.8,319.0,304.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
29,20230910,120500,23.4,3.56,4.8,318.5,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
30,20230910,120835,23.4,3.56,4.8,318.5,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
31,20230910,121945,23.6,3.64,4.8,319.3,300.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
32,20230910,122624,23.7,3.59,4.7,320.1,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
33,20230910,123514,23.7,3.59,4.7,320.1,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
34,20230910,123916,23.8,3.9,4.7,319.8,303.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
35,20230910,124616,23.8,3.65,4.7,318.9,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
36,20230910,125307,23.8,3.65,4.7,318.9,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
37,20230910,130023,23.7,3.6,4.7,320.7,317.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
38,20230910,130730,23.7,3.42,4.7,319.9,316.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
39,20230910,130939,23.7,3.42,4.7,319.9,316.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
40,20230910,132256,23.8,3.44,4.7,319.3,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
41,20230910,132633,23.5,3.46,4.7,319.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
42,20230910,133526,23.5,3.46,4.7,319.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
43,20230910,133807,23.5,3.42,4.7,319.8,315.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
44,20230910,134719,23.5,3.57,4.7,318.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
45,20230910,134833,23.5,3.57,4.7,318.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
46,20230910,135627,23.5,3.52,4.7,318.3,317.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
47,20230910,140356,23.5,3.53,4.7,318.1,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
48,20230910,141553,23.5,3.53,4.7,318.1,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
49,20230910,141834,23.5,3.5,4.7,317.8,304.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
50,20230910,142520,23.4,3.36,4.7,317.5,310.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
51,20230910,143305,23.4,3.36,4.7,317.5,310.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
52,20230910,143712,23.5,3.53,4.7,317.8,316.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
53,20230910,144654,23.5,3.48,4.7,318.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
54,20230910,145555,23.5,3.48,4.7,318.7,307.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
55,20230910,150200,23.4,3.46,4.7,318.6,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
56,20230910,150331,23.4,3.59,4.7,321.0,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
57,20230910,151006,23.4,3.59,4.7,321.0,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
58,20230910,152155,23.4,3.72,4.7,320.8,284.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
59,20230910,152412,23.4,3.31,4.7,320.8,259.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
60,20230910,153236,23.4,3.31,4.7,320.8,259.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
61,20230910,154000,23.3,3.28,4.7,320.9,270.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
62,20230910,154433,23.3,3.44,4.7,320.5,299.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
63,20230910,155551,23.3,3.44,4.7,320.5,299.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
64,20230910,160015,23.3,3.38,4.7,320.9,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
65,20230910,160404,23.3,3.53,4.7,320.1,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
66,20230910,161006,23.3,3.53,4.7,320.1,302.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
67,20230910,161831,23.3,3.15,4.7,320.8,303.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
68,20230910,162344,23.4,3.38,4.7,319.9,304.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
69,20230910,162948,23.4,3.38,4.7,319.9,304.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
70,20230910,164001,23.3,3.45,4.7,320.3,305.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
71,20230910,164603,23.3,3.49,4.6,319.3,300.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
72,20230910,165434,23.3,3.49,4.6,319.3,300.0,0.1,0.1,C,0,40,0,1,0.5,0,,,
73,20230911,90208,23.3,3.88,4.3,338.8,322.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
74,20230911,90510,23.3,3.83,4.3,335.4,323.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
75,20230911,91529,23.4,3.8,4.1,315.5,306.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
76,20230911,92202,23.3,3.69,4.3,330.2,316.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
77,20230911,92704,23.4,3.91,4.3,329.4,315.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
78,20230911,93508,23.4,3.91,4.3,329.4,315.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
79,20230911,94034,23.3,4.14,4.3,328.1,331.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
80,20230911,94538,23.3,3.84,4.3,328.5,324.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
81,20230911,94849,23.3,3.84,4.3,328.5,324.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
82,20230911,100144,23.3,3.78,4.3,326.8,257.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
83,20230911,100633,23.3,3.86,4.3,326.5,263.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
84,20230911,101333,23.3,3.86,4.3,326.5,263.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
85,20230911,101916,23.3,3.97,4.3,325.5,300.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
86,20230911,102733,23.3,3.86,4.3,324.0,310.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
87,20230911,103000,23.3,3.86,4.3,324.0,310.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
88,20230911,104053,23.3,3.8,4.3,323.6,311.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
89,20230911,104523,23.3,3.92,4.3,322.4,304.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
90,20230911,105135,23.3,3.92,4.3,322.4,304.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
91,20230911,110009,23.3,3.96,4.3,322.3,303.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
92,20230911,110737,23.4,3.77,4.3,323.7,292.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
93,20230911,111554,23.4,3.77,4.3,323.7,292.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
94,20230911,112210,23.3,3.83,4.3,323.8,294.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
95,20230911,112510,23.3,3.83,4.3,323.6,302.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
96,20230911,113100,23.3,3.83,4.3,323.6,302.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
97,20230911,114016,23.3,4.01,4.2,322.9,294.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
98,20230911,114407,23.3,3.73,4.2,323.0,331.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
99,20230911,115556,23.3,3.73,4.2,323.0,331.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
100,20230911,120100,23.3,3.62,4.2,322.4,324.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
101,20230911,120356,23.3,3.79,4.2,323.1,257.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
102,20230911,121500,23.3,3.79,4.2,323.1,257.4,0.1,0.1,C,0,40,0,2,0.5,0,,,
