"ITEM_SEQ","ENTP_NO","ENTP_NAME","ENTP_SEQ","INDUTY_CLASS_CODE","ITEM_NAME","SN","ITEM_PERMIT_DATE","INGR_CODE","INGR_KOR_NAME","MATERIAL_QTY","TOTQY_SEQ"
"202300008","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스코프연질캡슐","1","2023-01-02","M040353","아세트아미노펜","","1"
"202300008","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스코프연질캡슐","2","2023-01-02","M050058","구아이페네신","","1"
"202300008","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스코프연질캡슐","3","2023-01-02","M222957","덱스트로메토르판브롬화수소산염수화물","","1"
"202300008","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스코프연질캡슐","4","2023-01-02","M223470","노스카핀염산염수화물","","1"
"202300008","1648","(주)알피바이오","19840009","A0","화이투벤큐플러스코프연질캡슐","5","2023-01-02","M250460","트리프롤리딘염산염수화물","","1"
"202300013","2638","코스맥스파마(주)","20170081","E0","징코더블에스정240밀리그램(은행엽건조엑스)","1","2023-01-02","M273892","은행엽 건조엑스","","1"
"202300014","2691","(주)킴스제약","20192749","A0","콜드킴정","1","2023-01-02","M040353","아세트아미노펜","","1"
"202300014","2691","(주)킴스제약","20192749","A0","콜드킴정","2","2023-01-02","M223155","에페드린염산염","","1"
"202300014","2691","(주)킴스제약","20192749","A0","콜드킴정","3","2023-01-02","M223183","카페인무수물","","1"
"202300019","1475","지엘파마(주)","19650018","A0","시타엔메트엑스알서방정50/750밀리그램","1","2023-01-02","M266925","시타글립틴염산염수화물","","1"
"202300019","1475","지엘파마(주)","19650018","A0","시타엔메트엑스알서방정50/750밀리그램","1","2023-01-02","M244179","메트포르민염산염","","2"
"202300020","1689","(주)보령","19880005","A0","트루시타엠서방정50/750밀리그램(시타글립틴, 메트포르민)","1","2023-01-02","M266925","시타글립틴염산염수화물","","1"
"202300020","1689","(주)보령","19880005","A0","트루시타엠서방정50/750밀리그램(시타글립틴, 메트포르민)","1","2023-01-02","M244179","메트포르민염산염","","2"
"202300021","1373","대원제약(주)","19580008","A0","자누리틴콤비서방정50/750 밀리그램","1","2023-01-02","M266925","시타글립틴염산염수화물","","1"
"202300021","1373","대원제약(주)","19580008","A0","자누리틴콤비서방정50/750 밀리그램","1","2023-01-02","M244179","메트포르민염산염","","2"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","1","2023-01-03","M247202","레티놀아세테이트 과립","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","2","2023-01-03","M244748","판토텐산칼슘","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","3","2023-01-03","M223289","폴산","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","4","2023-01-03","M249983","D-비오틴","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","5","2023-01-03","M243785","산화아연","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","6","2023-01-03","M051783","푸마르산철","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","7","2023-01-03","M040262","산화마그네슘","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","8","2023-01-03","M244365","셀레늄함유건조효모","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","9","2023-01-03","M113501","농축콜레칼시페롤 산","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","10","2023-01-03","M246161","직타용아스코르브산97%","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","11","2023-01-03","M223262","티아민질산염","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","12","2023-01-03","M040133","리보플라빈","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","13","2023-01-03","M255819","토코페롤아세테이트 2배산","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","14","2023-01-03","M204304","피리독신염산염","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","15","2023-01-03","M040064","니코틴산아미드","","1"
"202300022","1390","미래바이오제약(주)","19600011","A0","바이타맥스큐정","16","2023-01-03","M096429","시아노코발라민","","1"
"202300026","1335","삼천당제약(주)","19570010","A0","다포가정10밀리그램(다파글리플로진프로판디올수화물)","1","2023-01-03","M258339","다파글리플로진프로판디올수화물","","1"
"202300028","45","삼성바이오에피스(주)","20160104","C0","아달로체펜주40mg/0.4mL(아달리무맙,유전자재조합)","1","2023-01-03","M268927","아달리무맙","","1"
"202300029","45","삼성바이오에피스(주)","20160104","C0","아달로체프리필드시린지주40mg/0.4mL(아달리무맙,유전자재조합)","1","2023-01-03","M268927","아달리무맙","","1"
