Salary,TenureDays,Absences,EngagementSurvey,ManagerID,Cluster_Anomaly,Distance
62506,1243.0,1,4.6,22.0,0,1.2230280381177545
104437,444.0,17,4.96,4.0,2,2.07972801303149
64955,447.0,3,3.02,20.0,1,2.197489536406553
64991,1243.0,15,4.84,16.0,3,0.7211774359273899
50825,1884.0,2,5.0,39.0,0,3.4945804669876015
57568,1243.0,15,5.0,11.0,3,1.3008844819341294
95660,1243.0,19,3.04,10.0,1,1.9673338657729231
59365,1243.0,19,5.0,19.0,3,0.9732217633925243
47837,1243.0,4,4.46,12.0,0,0.6790518970957539
50178,1243.0,16,5.0,7.0,3,1.7835309232816121
54670,2194.0,12,4.2,14.0,3,2.348835724082459
47211,1631.0,15,4.2,20.0,3,1.0034536392546678
92328,1243.0,9,4.28,4.0,2,0.9254761716993856
58709,1243.0,7,4.6,18.0,0,0.7638848305247697
52505,1655.0,1,5.0,22.0,0,1.5847094571225495
57834,2356.0,20,5.0,18.0,3,2.757684576175802
70131,1243.0,16,4.4,18.0,3,0.4880746690390904
59026,1243.0,12,5.0,16.0,3,1.0154203366696382
110000,432.0,8,4.5,4.0,2,1.6872706426265844
53250,1243.0,13,4.2,15.0,3,0.8004006231794013
51044,1243.0,13,5.0,11.0,3,1.3961319318232575
64919,1243.0,2,4.2,19.0,0,0.8553871521871743
62910,1243.0,19,5.0,12.0,3,1.364243000952413
66441,1243.0,3,2.0,22.0,1,2.0725876323433376
57815,1180.0,5,4.8,16.0,0,0.7322484079833078
103613,732.0,2,3.5,4.0,2,2.114119503451846
106367,1243.0,4,5.0,3.0,2,1.4311501120134358
74312,311.0,14,3.39,2.0,1,2.578775675989637
53492,439.0,6,3.35,14.0,1,1.9174015425387427
63000,1243.0,14,4.5,1.0,2,2.1441125828318253
65288,1243.0,9,3.19,15.0,1,0.5767564234476518
64375,1243.0,17,3.5,20.0,3,1.241986737157509
74326,1083.0,19,3.14,17.0,1,1.5121982219109606
63763,1243.0,3,4.51,11.0,0,0.5757937182551347
62162,1243.0,15,3.25,19.0,1,1.0687008456008242
77692,1243.0,4,3.84,5.0,0,1.524381537227075
72640,1243.0,14,5.0,2.0,2,1.9124672240966194
93396,1243.0,3,4.96,10.0,0,1.5940611685361477
52846,1243.0,14,4.43,18.0,3,0.4115362868857544
100031,1243.0,7,5.0,4.0,2,1.1342861247616893
71860,1243.0,7,5.0,17.0,0,1.0729741626767704
61656,1243.0,11,5.0,22.0,3,1.0706459830806008
110929,1243.0,8,4.5,5.0,2,0.5494548210544669
54237,1243.0,11,3.3,16.0,1,0.735301534016073
60380,1243.0,4,3.8,15.0,0,0.8285939258139636
66808,1243.0,17,3.0,21.0,1,1.3974364418302623
64786,1602.0,3,4.3,11.0,0,0.748338498221648
64816,1243.0,3,3.58,19.0,0,1.2768101906767018
68678,1243.0,2,4.7,6.0,0,1.2379739816764836
64066,602.0,9,4.2,12.0,0,1.998680498740603
59369,392.0,6,4.2,14.0,0,2.3300508555974333
50373,1243.0,5,4.1,12.0,0,0.7077276566960733
63108,1243.0,3,4.4,14.0,0,0.39548996767443856
59144,1901.0,16,2.0,20.0,1,2.494015711293664
68051,1243.0,3,4.13,2.0,0,1.6276649486309154
170500,1243.0,15,3.7,2.0,2,2.6421816007831644
63381,1243.0,6,4.73,18.0,0,0.7560945529335744
83552,1243.0,2,3.04,4.0,1,2.156730217114548
56149,1243.0,15,4.12,22.0,3,0.5337190198372175
92329,1243.0,5,5.0,7.0,2,1.500048415945382
65729,1243.0,8,4.62,15.0,0,0.7502906296456843
85028,1243.0,19,3.1,7.0,1,1.8846336510019783
57583,1243.0,1,5.0,16.0,0,1.0507065134399636
56294,1243.0,6,3.96,20.0,0,1.026300139472866
56991,1243.0,2,4.3,12.0,0,0.6214718533652401
55722,1850.0,14,5.0,39.0,3,2.8835526302368986
101199,1243.0,8,3.79,10.0,2,1.214697534234812
61568,1243.0,5,1.93,17.0,1,1.6907961502771136
58275,1675.0,1,4.62,18.0,0,1.1053946451426921
53189,1243.0,9,1.12,11.0,1,2.4081213782682926
96820,1243.0,15,3.01,13.0,1,1.5172582815750912
51259,1243.0,1,4.3,19.0,0,1.0020063842976414
59231,1243.0,17,2.3,17.0,1,1.4101717860149163
61584,1243.0,6,3.88,12.0,0,0.8097208312300103
46335,1243.0,15,3.4,14.0,1,1.2094378096214562
70621,1243.0,16,4.11,7.0,3,1.6958093888461894
138888,1243.0,4,4.3,5.0,2,1.577827868911955
74241,1243.0,14,4.77,21.0,3,0.7738852790549253
75188,1243.0,4,4.52,2.0,0,1.6512809482775337
62514,1243.0,6,2.9,19.0,1,1.0892118903492343
60070,2255.0,7,5.0,20.0,0,2.388598340733417
48888,1243.0,8,4.7,18.0,0,1.0377055160955793
54285,1243.0,3,4.2,18.0,0,0.7327809349367126
56847,1243.0,5,3.0,22.0,1,1.4821685095545614
60340,2369.0,16,5.0,22.0,3,2.6757308263710824
59124,1469.0,19,2.3,16.0,1,1.8354372067803757
99280,765.0,19,2.1,10.0,1,2.4258723924338415
71776,1243.0,17,4.4,16.0,3,0.7302393509459194
65902,1243.0,7,4.0,15.0,0,0.7548053620678545
57748,1653.0,16,3.13,39.0,3,3.077066177826239
64057,1243.0,15,1.56,11.0,1,1.9352210214870655
53366,1243.0,2,1.2,7.0,1,2.8639750925124883
58530,1243.0,19,5.0,12.0,3,1.3594717751418568
72609,770.0,20,4.76,11.0,3,1.9336554339160819
55965,646.0,6,3.66,19.0,1,1.8022525396094073
70187,1420.0,7,2.0,21.0,1,1.7793705964801805
178000,1243.0,15,5.0,5.0,2,2.8327924202125407
99351,1243.0,3,5.0,9.0,2,1.6819668016255767
67251,1243.0,7,4.3,21.0,0,1.043391871684699
65707,1243.0,1,4.7,6.0,0,1.2861989161769676
52249,1243.0,5,4.5,14.0,0,0.4922763053735509
53171,1243.0,12,4.2,18.0,3,0.7151362803477119
51337,1243.0,19,3.73,22.0,3,1.1965055730906018
51505,1835.0,2,4.24,16.0,0,1.2878255788750002
59370,425.0,7,3.97,17.0,1,2.2296499863046755
54933,1179.0,15,3.97,39.0,3,2.531188710963356
57815,1243.0,3,3.9,11.0,0,0.8523260773143888
61555,1243.0,20,4.5,21.0,3,0.8497584703438599
114800,27.0,10,4.6,4.0,2,2.58914247532241
74679,1243.0,20,4.3,7.0,3,1.8844729875196187
53018,1243.0,7,4.3,19.0,0,0.880172676360146
59892,1243.0,1,4.5,12.0,0,0.7312042323466319
68898,399.0,10,3.0,12.0,1,1.715585242382213
61242,1243.0,11,4.61,7.0,0,1.4789961298366698
66825,1243.0,20,4.6,14.0,3,1.135713277352399
48285,1243.0,2,5.0,14.0,0,1.0590575489192913
66149,1243.0,1,4.4,20.0,0,1.014727393380033
49256,1243.0,3,4.1,20.0,0,1.0395209142252984
62957,1243.0,2,4.63,2.0,0,1.633533699379872
63813,1055.0,17,5.0,18.0,3,0.9837485886532998
99020,1243.0,8,4.2,13.0,2,1.2672491689862184
71707,968.0,20,4.5,17.0,3,1.2516080253830257
54828,1243.0,13,4.2,22.0,3,0.6130504422852354
64246,1243.0,20,5.0,18.0,3,1.1236347890895968
52177,1436.0,8,4.64,39.0,3,2.7878724940017965
62065,1243.0,5,4.76,11.0,0,0.6731374392222234
46998,1243.0,1,4.17,19.0,0,1.113206338889381
68099,890.0,15,5.0,18.0,3,1.2396265671861815
70545,1243.0,9,3.6,17.0,1,1.0630814751417461
63478,236.0,16,3.03,30.0,1,2.999419787244363
97999,1243.0,4,4.48,4.0,2,1.311929164579182
180000,1243.0,19,4.5,2.0,2,3.0933529479633166
